Year,Data type,Sex,NHHA priority cohort,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National(a)
2021-22,Number of At risk clients,All clients,Older people,"1,058","3,129",774,760,357,140,29,97,"6,344"
2020-21,Proportion of clients that avoided homelessness,Females,Women and children affected by family and domestic violence(a),80.8,79.1,79.4,76.3,84.2,74.6,69.7,77.9,79.0
2020-21,Proportion of clients that avoided homelessness,Females,Children and young people,79.3,75.0,81.2,78.6,84.1,63.8,72.2,78.9,77.9
2020-21,Proportion of clients that avoided homelessness,Females,Indigenous Australians,78.9,71.8,77.2,78.8,80.1,n.p.,n.p.,78.3,76.8
2020-21,Proportion of clients that avoided homelessness,Females,People exiting institutions and care into homelessness,65.8,47.5,62.8,n.p.,67.5,n.p.,n.p.,n.p.,54.2
2020-21,Proportion of clients that avoided homelessness,Females,Older people,89.7,89.6,87.9,88.8,92.6,n.p.,n.p.,n.p.,89.2
2020-21,Proportion of clients that avoided homelessness,Males,Women and children affected by family and domestic violence(a),81.6,79.7,77.6,73.0,86.6,n.p.,n.p.,81.1,79.7
2020-21,Proportion of clients that avoided homelessness,Males,Children and young people,81.9,77.1,83.1,79.1,85.2,n.p.,n.p.,81.6,80.1
2020-21,Proportion of clients that avoided homelessness,Males,Indigenous Australians,79.6,63.7,78.2,81.1,79.8,n.p.,n.p.,77.0,76.2
2020-21,Proportion of clients that avoided homelessness,Males,People exiting institutions and care into homelessness,60.0,58.8,50.0,53.4,64.2,n.p.,n.p.,n.p.,58.2
2020-21,Proportion of clients that avoided homelessness,Males,Older people,89.1,82.8,80.2,93.1,n.p.,n.p.,n.p.,n.p.,84.9
2020-21,Proportion of clients that avoided homelessness,All clients,Women and children affected by family and domestic violence(a),80.9,79.2,79.0,75.7,84.6,74.0,71.8,78.5,79.1
2020-21,Proportion of clients that avoided homelessness,All clients,Children and young people,80.4,75.9,82.1,78.8,84.5,65.4,72.7,80.0,78.9
2020-21,Proportion of clients that avoided homelessness,All clients,Indigenous Australians,79.1,69.1,77.5,79.6,80.0,n.p.,n.p.,77.9,76.6
2020-21,Proportion of clients that avoided homelessness,All clients,People exiting institutions and care into homelessness,62.3,56.0,54.8,50.6,65.6,48.5,n.p.,56.8,57.0
2020-21,Proportion of clients that avoided homelessness,All clients,Older people,89.5,86.9,84.9,90.5,89.6,84.9,n.p.,80.2,87.5
2020-21,Number of clients that avoided homelessness,Females,Women and children affected by family and domestic violence(a),"3,254","6,317","1,588","1,446","1,201",88,101,995,"14,894"
2020-21,Number of clients that avoided homelessness,Females,Children and young people,"3,137","3,641","1,655","1,190",849,67,91,621,"11,205"
2020-21,Number of clients that avoided homelessness,Females,Indigenous Australians,"2,120","1,304","1,500","2,176",516,40,38,"1,192","8,816"
2020-21,Number of clients that avoided homelessness,Females,People exiting institutions and care into homelessness,217,381,71,35,81,n.p.,21,31,845
2020-21,Number of clients that avoided homelessness,Females,Older people,574,"1,450",327,381,125,61,n.p.,69,"3,000"
2020-21,Number of clients that avoided homelessness,Males,Women and children affected by family and domestic violence(a),847,"1,333",389,259,219,n.p.,n.p.,261,"3,315"
2020-21,Number of clients that avoided homelessness,Males,Children and young people,"2,472","2,923","1,320",843,660,39,37,421,"8,695"
2020-21,Number of clients that avoided homelessness,Males,Indigenous Australians,"1,139",608,694,"1,120",292,21,n.p.,434,"4,303"
2020-21,Number of clients that avoided homelessness,Males,People exiting institutions and care into homelessness,286,"1,479",94,55,115,35,21,48,"2,125"
2020-21,Number of clients that avoided homelessness,Males,Older people,359,909,186,269,82,40,20,20,"1,880"
2020-21,Number of clients that avoided homelessness,All clients,Women and children affected by family and domestic violence(a),"4,101","7,650","1,977","1,705","1,420",91,117,"1,256","18,209"
2020-21,Number of clients that avoided homelessness,All clients,Children and young people,"5,609","6,564","2,975","2,033","1,509",106,128,"1,042","19,900"
2020-21,Number of clients that avoided homelessness,All clients,Indigenous Australians,"3,259","1,912","2,194","3,296",808,61,52,"1,626","13,119"
2020-21,Number of clients that avoided homelessness,All clients,People exiting institutions and care into homelessness,503,"1,860",165,90,196,49,42,79,"2,970"
2020-21,Number of clients that avoided homelessness,All clients,Older people,933,"2,359",513,650,207,101,36,89,"4,880"
2020-21,Number of At risk clients,Females,Women and children affected by family and domestic violence(a),"4,029","7,989","2,001","1,896","1,426",118,145,"1,277","18,853"
2020-21,Number of At risk clients,Females,Children and young people,"3,958","4,853","2,037","1,514","1,010",105,126,787,"14,379"
2020-21,Number of At risk clients,Females,Indigenous Australians,"2,687","1,815","1,944","2,761",644,55,54,"1,523","11,475"
2020-21,Number of At risk clients,Females,People exiting institutions and care into homelessness,330,802,113,75,120,31,38,52,"1,558"
2020-21,Number of At risk clients,Females,Older people,640,"1,618",372,429,135,71,17,84,"3,365"
2020-21,Number of At risk clients,Males,Women and children affected by family and domestic violence(a),"1,038","1,673",501,355,253,5,18,322,"4,161"
2020-21,Number of At risk clients,Males,Children and young people,"3,018","3,791","1,588","1,066",775,57,50,516,"10,857"
2020-21,Number of At risk clients,Males,Indigenous Australians,"1,431",954,887,"1,381",366,33,21,564,"5,645"
2020-21,Number of At risk clients,Males,People exiting institutions and care into homelessness,477,"2,517",188,103,179,70,32,87,"3,653"
2020-21,Number of At risk clients,Males,Older people,403,"1,098",232,289,96,48,24,27,"2,215"
2020-21,Number of At risk clients,All clients,Women and children affected by family and domestic violence(a),"5,067","9,662","2,502","2,251","1,679",123,163,"1,599","23,014"
2020-21,Number of At risk clients,All clients,Children and young people,"6,976","8,644","3,625","2,580","1,785",162,176,"1,303","25,236"
2020-21,Number of At risk clients,All clients,Indigenous Australians,"4,118","2,769","2,831","4,142","1,010",88,75,"2,087","17,120"
2020-21,Number of At risk clients,All clients,People exiting institutions and care into homelessness,807,"3,319",301,178,299,101,70,139,"5,211"
2020-21,Number of At risk clients,All clients,Older people,"1,043","2,716",604,718,231,119,41,111,"5,580"
2019-20,Proportion of clients that avoided homelessness,Females,Women and children affected by family and domestic violence(a),82.2,79.7,75.9,76.6,85.1,74.8,68.4,78.7,79.3
2019-20,Proportion of clients that avoided homelessness,Females,Children and young people,82.8,78.9,76.8,79.7,83.2,75.5,62.5,81.9,79.7
2019-20,Proportion of clients that avoided homelessness,Females,Indigenous Australians,83.4,74.1,76.9,81.0,80.7,n.p.,n.p.,81.6,79.0
2019-20,Proportion of clients that avoided homelessness,Females,People exiting institutions and care into homelessness,60.7,53.0,53.7,n.p.,71.3,n.p.,n.p.,n.p.,57.2
2019-20,Proportion of clients that avoided homelessness,Females,Older people,92.9,90.6,87.0,94.7,92.9,n.p.,n.p.,n.p.,91.2
2019-20,Proportion of clients that avoided homelessness,Males,Women and children affected by family and domestic violence(a),83.4,80.4,83.4,77.3,85.7,n.p.,n.p.,79.8,81.1
2019-20,Proportion of clients that avoided homelessness,Males,Children and young people,84.5,81.5,80.6,81.8,85.1,n.p.,n.p.,81.2,82.0
2019-20,Proportion of clients that avoided homelessness,Males,Indigenous Australians,81.6,68.4,74.6,84.3,83.0,n.p.,n.p.,82.3,78.1
2019-20,Proportion of clients that avoided homelessness,Males,People exiting institutions and care into homelessness,64.5,64.0,49.2,45.7,73.6,n.p.,n.p.,n.p.,62.3
2019-20,Proportion of clients that avoided homelessness,Males,Older people,88.4,87.1,87.8,92.1,n.p.,n.p.,n.p.,n.p.,87.9
2019-20,Proportion of clients that avoided homelessness,All clients,Women and children affected by family and domestic violence(a),82.4,79.8,77.2,76.7,85.1,74.8,70.3,79.0,79.6
2019-20,Proportion of clients that avoided homelessness,All clients,Children and young people,83.5,80.1,78.5,80.5,84.0,71.2,66.7,81.6,80.7
2019-20,Proportion of clients that avoided homelessness,All clients,Indigenous Australians,82.8,72.1,76.2,82.1,81.5,n.p.,n.p.,81.7,78.7
2019-20,Proportion of clients that avoided homelessness,All clients,People exiting institutions and care into homelessness,62.9,61.1,50.5,51.3,72.7,59.3,n.p.,70.5,60.7
2019-20,Proportion of clients that avoided homelessness,All clients,Older people,91.2,89.1,87.3,93.6,90.1,91.2,n.p.,90.9,89.8
2019-20,Number of clients that avoided homelessness,Females,Women and children affected by family and domestic violence(a),"3,308","6,764","1,562","1,559","1,248",98,104,948,"15,463"
2019-20,Number of clients that avoided homelessness,Females,Children and young people,"3,426","4,760","1,659","1,323",937,80,65,624,"12,805"
2019-20,Number of clients that avoided homelessness,Females,Indigenous Australians,"2,370","1,382","1,546","2,271",522,50,30,"1,221","9,277"
2019-20,Number of clients that avoided homelessness,Females,People exiting institutions and care into homelessness,241,462,58,60,92,27,n.p.,43,992
2019-20,Number of clients that avoided homelessness,Females,Older people,632,"1,864",280,396,143,62,n.p.,77,"3,466"
2019-20,Number of clients that avoided homelessness,Males,Women and children affected by family and domestic violence(a),896,"1,609",363,374,191,n.p.,n.p.,245,"3,671"
2019-20,Number of clients that avoided homelessness,Males,Children and young people,"2,631","3,955","1,329",986,684,24,33,368,"9,967"
2019-20,Number of clients that avoided homelessness,Males,Indigenous Australians,"1,172",688,722,"1,225",288,n.p.,n.p.,396,"4,495"
2019-20,Number of clients that avoided homelessness,Males,People exiting institutions and care into homelessness,350,"1,578",129,74,142,37,25,67,"2,379"
2019-20,Number of clients that avoided homelessness,Males,Older people,366,"1,294",230,303,67,42,32,23,"2,351"
2019-20,Number of clients that avoided homelessness,All clients,Women and children affected by family and domestic violence(a),"4,204","8,373","1,925","1,933","1,439",98,116,"1,193","19,134"
2019-20,Number of clients that avoided homelessness,All clients,Children and young people,"6,057","8,715","2,988","2,309","1,621",104,98,992,"22,772"
2019-20,Number of clients that avoided homelessness,All clients,Indigenous Australians,"3,542","2,070","2,268","3,496",810,69,49,"1,617","13,772"
2019-20,Number of clients that avoided homelessness,All clients,People exiting institutions and care into homelessness,591,"2,040",187,134,234,64,44,110,"3,371"
2019-20,Number of clients that avoided homelessness,All clients,Older people,998,"3,158",510,699,210,104,50,100,"5,817"
2019-20,Number of At risk clients,Females,Women and children affected by family and domestic violence(a),"4,025","8,488","2,057","2,035","1,467",131,152,"1,204","19,506"
2019-20,Number of At risk clients,Females,Children and young people,"4,138","6,030","2,159","1,661","1,126",106,104,762,"16,057"
2019-20,Number of At risk clients,Females,Indigenous Australians,"2,841","1,866","2,010","2,803",647,66,44,"1,497","11,736"
2019-20,Number of At risk clients,Females,People exiting institutions and care into homelessness,397,872,108,99,129,39,32,64,"1,735"
2019-20,Number of At risk clients,Females,Older people,680,"2,058",322,418,154,67,21,83,"3,802"
2019-20,Number of At risk clients,Males,Women and children affected by family and domestic violence(a),"1,074","2,001",435,484,223,0,13,307,"4,528"
2019-20,Number of At risk clients,Males,Children and young people,"3,114","4,853","1,649","1,206",804,40,43,453,"12,148"
2019-20,Number of At risk clients,Males,Indigenous Australians,"1,436","1,006",968,"1,453",347,31,30,481,"5,754"
2019-20,Number of At risk clients,Males,People exiting institutions and care into homelessness,543,"2,465",262,162,193,69,41,92,"3,820"
2019-20,Number of At risk clients,Males,Older people,414,"1,485",262,329,79,47,32,27,"2,676"
2019-20,Number of At risk clients,All clients,Women and children affected by family and domestic violence(a),"5,099","10,489","2,492","2,519","1,690",131,165,"1,511","24,034"
2019-20,Number of At risk clients,All clients,Children and young people,"7,252","10,883","3,808","2,867","1,930",146,147,"1,215","28,205"
2019-20,Number of At risk clients,All clients,Indigenous Australians,"4,277","2,872","2,978","4,256",994,97,74,"1,978","17,490"
2019-20,Number of At risk clients,All clients,People exiting institutions and care into homelessness,940,"3,337",370,261,322,108,73,156,"5,555"
2019-20,Number of At risk clients,All clients,Older people,"1,094","3,543",584,747,233,114,53,110,"6,478"
2018-19,Proportion of clients that avoided homelessness,Females,Women and children affected by family and domestic violence(a),80.2,79.2,73.0,76.7,86.7,71.2,73.3,79.5,78.5
2018-19,Proportion of clients that avoided homelessness,Females,Children and young people,81.0,76.5,78.6,76.5,82.4,n.p.,64.7,83.3,78.2
2018-19,Proportion of clients that avoided homelessness,Females,Indigenous Australians,80.4,67.5,77.0,77.5,79.6,n.p.,n.p.,80.8,76.2
2018-19,Proportion of clients that avoided homelessness,Females,People exiting institutions and care into homelessness,63.8,53.8,59.2,57.9,67.0,n.p.,n.p.,n.p.,57.6
2018-19,Proportion of clients that avoided homelessness,Females,Older people,92.9,91.0,87.8,93.1,97.1,n.p.,n.p.,n.p.,91.1
2018-19,Proportion of clients that avoided homelessness,Males,Women and children affected by family and domestic violence(a),78.8,80.9,73.5,69.2,84.1,n.p.,n.p.,86.1,78.1
2018-19,Proportion of clients that avoided homelessness,Males,Children and young people,83.0,79.5,79.5,74.7,85.1,n.p.,n.p.,82.7,80.2
2018-19,Proportion of clients that avoided homelessness,Males,Indigenous Australians,80.1,63.7,77.3,78.3,80.2,n.p.,n.p.,77.8,75.5
2018-19,Proportion of clients that avoided homelessness,Males,People exiting institutions and care into homelessness,60.8,67.4,51.6,43.7,72.9,n.p.,n.p.,n.p.,64.0
2018-19,Proportion of clients that avoided homelessness,Males,Older people,90.5,87.2,78.4,91.8,n.p.,n.p.,n.p.,n.p.,86.5
2018-19,Proportion of clients that avoided homelessness,All clients,Women and children affected by family and domestic violence(a),79.9,79.5,73.1,75.3,86.3,71.7,72.4,80.8,78.4
2018-19,Proportion of clients that avoided homelessness,All clients,Children and young people,81.8,77.8,79.0,75.8,83.5,70.0,69.1,83.1,79.1
2018-19,Proportion of clients that avoided homelessness,All clients,Indigenous Australians,80.3,66.2,77.1,77.7,79.8,n.p.,n.p.,80.1,76.0
2018-19,Proportion of clients that avoided homelessness,All clients,People exiting institutions and care into homelessness,62.1,64.1,54.3,50.2,70.9,n.p.,n.p.,51.1,62.0
2018-19,Proportion of clients that avoided homelessness,All clients,Older people,91.9,89.3,83.6,92.5,91.7,85.1,n.p.,84.1,89.1
2018-19,Number of clients that avoided homelessness,Females,Women and children affected by family and domestic violence(a),"3,328","6,291","1,527","1,678","1,346",94,85,898,"15,117"
2018-19,Number of clients that avoided homelessness,Females,Children and young people,"3,592","4,236","1,886","1,053",855,69,90,589,"12,284"
2018-19,Number of clients that avoided homelessness,Females,Indigenous Australians,"2,195","1,091","1,576","1,552",511,37,42,"1,093","8,008"
2018-19,Number of clients that avoided homelessness,Females,People exiting institutions and care into homelessness,255,460,100,62,73,n.p.,36,29,"1,019"
2018-19,Number of clients that avoided homelessness,Females,Older people,696,"1,686",332,296,132,49,36,84,"3,300"
2018-19,Number of clients that avoided homelessness,Males,Women and children affected by family and domestic violence(a),835,"1,395",440,355,238,n.p.,n.p.,236,"3,493"
2018-19,Number of clients that avoided homelessness,Males,Children and young people,"2,770","3,450","1,564",687,644,43,53,343,"9,519"
2018-19,Number of clients that avoided homelessness,Males,Indigenous Australians,"1,172",566,888,655,239,n.p.,22,346,"3,889"
2018-19,Number of clients that avoided homelessness,Males,People exiting institutions and care into homelessness,337,"1,759",160,55,159,35,23,42,"2,557"
2018-19,Number of clients that avoided homelessness,Males,Older people,467,"1,256",243,212,66,37,n.p.,27,"2,315"
2018-19,Number of clients that avoided homelessness,All clients,Women and children affected by family and domestic violence(a),"4,163","7,686","1,967","2,033","1,584",99,92,"1,134","18,610"
2018-19,Number of clients that avoided homelessness,All clients,Children and young people,"6,362","7,686","3,450","1,740","1,499",112,143,932,"21,803"
2018-19,Number of clients that avoided homelessness,All clients,Indigenous Australians,"3,367","1,657","2,464","2,207",750,54,64,"1,439","11,897"
2018-19,Number of clients that avoided homelessness,All clients,People exiting institutions and care into homelessness,592,"2,219",260,117,232,52,59,71,"3,576"
2018-19,Number of clients that avoided homelessness,All clients,Older people,"1,163","2,942",575,508,198,86,52,111,"5,615"
2018-19,Number of At risk clients,Females,Women and children affected by family and domestic violence(a),"4,148","7,944","2,091","2,188","1,553",132,116,"1,129","19,264"
2018-19,Number of At risk clients,Females,Children and young people,"4,437","5,536","2,399","1,376","1,038",98,139,707,"15,706"
2018-19,Number of At risk clients,Females,Indigenous Australians,"2,731","1,616","2,048","2,003",642,56,58,"1,352","10,503"
2018-19,Number of At risk clients,Females,People exiting institutions and care into homelessness,400,855,169,107,109,30,52,51,"1,770"
2018-19,Number of At risk clients,Females,Older people,749,"1,853",378,318,136,58,42,95,"3,623"
2018-19,Number of At risk clients,Males,Women and children affected by family and domestic violence(a),"1,060","1,724",599,513,283,6,11,274,"4,472"
2018-19,Number of At risk clients,Males,Children and young people,"3,336","4,342","1,967",920,757,62,68,415,"11,868"
2018-19,Number of At risk clients,Males,Indigenous Australians,"1,464",888,"1,149",837,298,25,35,445,"5,152"
2018-19,Number of At risk clients,Males,People exiting institutions and care into homelessness,554,"2,608",310,126,218,57,32,88,"3,998"
2018-19,Number of At risk clients,Males,Older people,516,"1,441",310,231,80,43,21,37,"2,677"
2018-19,Number of At risk clients,All clients,Women and children affected by family and domestic violence(a),"5,208","9,668","2,690","2,701","1,836",138,127,"1,403","23,736"
2018-19,Number of At risk clients,All clients,Children and young people,"7,773","9,878","4,366","2,296","1,795",160,207,"1,122","27,574"
2018-19,Number of At risk clients,All clients,Indigenous Australians,"4,195","2,504","3,197","2,840",940,81,93,"1,797","15,655"
2018-19,Number of At risk clients,All clients,People exiting institutions and care into homelessness,954,"3,463",479,233,327,87,84,139,"5,768"
2018-19,Number of At risk clients,All clients,Older people,"1,265","3,294",688,549,216,101,63,132,"6,300"
